40 от 29.10.2018;;30.08.2018;ИП Булавина Валентина Викторовна;526202068577;микропредприятие;финансовая;субсидия; 74 659,05   ;2018-2019;
41 от 29.10.2018;;05.10.2018;"ООО ""Стаблес""";5249131040;малое предприятие;финансовая;субсидия; 172 231,44   ;2018-2020;
42 от 29.10.2018;;05.10.2018;"ООО ""ЗАВОД ФОРМПЛАСТ""";5246036221;малое предприятие;финансовая;субсидия; 33 572,05   ;2018-2020;
43 от 29.10.2018;;05.10.2018;"ООО ""Лега""";5249028620;среднее предприятие;финансовая;субсидия; 151 232,88   ;2018-2020;
44 от 27.12.2018;;30.08.2018;"ООО ""Континент ЭТС""";5261108921;среднее предприятие;финансовая;субсидия; 659 823,52   ;2018-2020;
45 от 27.12.2018;;30.08.2018;"ООО ""Биком""";5262101750;малое предприятие;финансовая;субсидия; 465 374,31   ;2018-2020;
46 от 27.12.2018;;30.08.2018;"ЗАО ""Завод ТРУД""";5261005718;среднее предприятие;финансовая;субсидия; 111 991,94   ;2018-2020;
47 от 27.12.2018;;30.08.2018;"ООО ""Компания Хома""";5050033392;среднее предприятие;финансовая;субсидия; 852 615,26   ;2018-2019;
48 от 27.12.2018;;30.08.2018;"ООО ""Питэко""";5263063634;малое предприятие;финансовая;субсидия; 161 684,10   ;2018-2020;
49 от 27.12.2018;;30.08.2018;"ООО ""Перфоком""";5261022880;среднее предприятие;финансовая;субсидия; 394 036,49   ;2018-2020;
50 от 27.12.2018;;30.08.2018;"ООО ""ВОЛСКИ биохим""";5259032471;микропредприятие;финансовая;субсидия; 358 991,65   ;2018-2020;
51 от 27.12.2018;;30.08.2018;"ООО ""Лесснабсбыт""";5262245222;микропредприятие;финансовая;субсидия; 97 793,22   ;2018-2020;
52 от 27.12.2018;;30.08.2018;"ООО ""Планета БАМ""";5262115833;малое предприятие;финансовая;субсидия; 88 811,57   ;2018-2019;
53 от 27.12.2018;;30.08.2018;"ООО ""Вектор""";5244024005;микропредприятие;финансовая;субсидия; 14 068,59   ;2018-2020;
54 от 27.12.2018;;30.08.2018;"ООО ""Завод ПКС""";5249098924;малое предприятие;финансовая;субсидия; 428 756,64   ;2018;
55 от 27.12.2018;;30.08.2018;"ООО ""Своя пекарня""";5256088074;малое предприятие;финансовая;субсидия; 342 950,33   ;2018-2019;
56 от 27.12.2018;;30.08.2018;"ООО ""ОБС ИмпЭкс"" ";5262261930;микропредприятие;финансовая;субсидия; 450 695,89   ;2018;
57 от 27.12.2018;;30.08.2018;"ОАО ""Борская фабрика валяной обуви""";5246006019;малое предприятие;финансовая;субсидия; 164 007,39   ;2018-2020;
58 от 27.12.2018;;30.08.2018;ИП Булавина Валентина Викторовна;526202068577;микропредприятие;финансовая;субсидия; 31 365,99   ;2018-2019;
59 от 27.12.2018;;05.10.2018;"ООО ""Стаблес""";5249131040;малое предприятие;финансовая;субсидия; 538 416,99   ;2018-2020;
60 от 27.12.2018;;05.10.2018;ИП Пашин Александр Юрьевич;371800004961;среднее предприятие;финансовая;субсидия; 4 784 243,42   ;2018;
61 от 27.12.2018;;05.10.2018;"ООО ""ЗАВОД ФОРМПЛАСТ""";5246036221;малое предприятие;финансовая;субсидия; 83 898,08   ;2018-2020;
62 от 27.12.2018;;05.10.2018;"ООО ""Лега""";5249028620;среднее предприятие;финансовая;субсидия; 264 863,01   ;2018-2020;
63 от 27.12.2018;;07.12.2018;"ООО ПФ ""Ока""";5252012050;среднее предприятие;финансовая;субсидия; 5 000 000,00   ;2018;
64 от 27.12.2018;;07.12.2018;"ООО ""ВолгаСтальПроект""";5260156231;среднее предприятие;финансовая;субсидия; 5 000 000,00   ;2018;
65 от 27.12.2018;;07.12.2018;"ООО ""НПО ""ГЦКБ Речфлота""";5262281340;малое предприятие;финансовая;субсидия; 2 600 423,73   ;2018;
66 от 27.12.2018;;07.12.2018;"ЗАО ""Завод ТРУД""";5261005718;среднее предприятие;финансовая;субсидия; 5 000 000,00   ;2018;
67 от 27.12.2018;;07.12.2018;"ООО НПО ""ЭТРА""";5256114366;малое предприятие;финансовая;субсидия; 1 609 627,00   ;2018;
